Model,n,n_total,CCC,RMSE,MAE,Bias
iYO844,9,9,0.9734662269395887,0.022721433983671574,0.018547090977891485,-0.015378763350573397
iBsu1147,9,9,0.8784895428127135,0.059361709617148414,0.054081667189900276,0.054081667189900276
eciYO844,9,9,0.9644659817774212,0.026026017406673724,0.021315281954479806,-0.018720527334312627
iBB1018,9,9,0.9729250912582404,0.024702496809710366,0.021939767712017264,-0.02052267834312533
iBsu1147R,9,9,0.9824175085419063,0.018231804343530077,0.012754976064481569,-0.006912066711185149
ecBSU1,9,9,0.982417571110514,0.01823177349574849,0.012754940498726138,-0.0069120105783967815
Submodel,9,9,0.9751476964237847,0.022968340403282453,0.019665048372137325,0.019665048372137325
