condition,reactions,import fluxes,experimental growth,iYO844,iBsu1103,iBsu1103v2,iBsu1147,eciYO844,iBB1018,iBsu1147R,ecBSU1,iBsu1209,Submodel
Glucose,EX_glc__D_e,-7.63,0.59,0.575179774746418,407.1717135299828,227.9418135848992,0.552604257214426,0.5662099997262331,0.6254471624919032,0.5545565412709136,0.5545565164493121,0.0,0.6242116986510706
Gluconate,EX_glcn__D_e,-5.13,0.42,0.38052507234963484,407.1717135299828,227.82430186857715,0.3761477890185946,0.0,0.39897662822149044,0.3770018851842732,0.377002046419468,0.0,0.40912231198841914
Glycerol,EX_glyc_e,-6.22,0.4,0.2828531956089186,407.1717135299828,227.82430186857715,0.2659458539189179,0.0,0.291231480892103,0.2742474230994403,0.2742475427468218,0.0,0.3083218183655591
Malate,EX_mal__L_e,-26.51,0.57,0.6081023043685987,407.1717135299828,227.82430186857715,,0.0,0.6254471624918825,0.5545565412708973,0.5545565164493033,0.0,0.6116744955161201
Malate; Glucose,EX_mal__L_e; EX_glc__D_e,-14.6; -5.95,0.75,0.6241848146320965,407.1717135299828,227.9159394455256,0.48741178247486,0.6241848146321003,0.6254471624918919,0.5545565412709079,0.5545565164493027,0.0,0.624211698651065
Pyruvate,EX_pyr_e,-8.26,0.17,0.24493752130490662,407.1717135299828,227.83697107628026,0.22787273078683237,0.0,0.2487531502956026,0.22725728624102187,0.22725738900092524,0.0,0.2741140546774481
Succinate; L-Glutamate,EX_succ_e; EX_glu__L_e,-3.35; -2.21,0.22,0.262826842791432,407.1717135299828,224.00230996563147,0.12046207073605229,0.0,0.27088291010391924,0.23350909028269376,0.23350919391434227,0.0,0.2926918787279062
Fructose,EX_fru_e,-5.72,0.53,0.4741510347299842,407.0777495182205,227.82430186857752,0.4403721764383037,0.0,0.5019645853111344,0.4496563813422276,0.4496565846652894,0.0,0.5067229032379443
