Model,n,CCC,NRMSE,MAE,Bias,Spearman_rho,CCC_EMP,n_EMP,CCC_TCA,n_TCA,CCC_PPP,n_PPP
iYO844,20,0.8459479492059645,26.481533412069588,24.438111548731154,8.968001978365013,0.867252798960656,0.859556455341988,6,0.45887814051834747,8,0.009697790293288098,6
iBsu1147,20,0.7136524846751421,39.88447593422277,31.144404343173782,15.233642790467375,0.838700409110365,0.40912732701228527,6,0.41467880071196284,8,0.007783431458785839,6
eciYO844,20,0.9474066690413459,13.695185250478122,10.8607806928889,5.452961717199598,0.8823815002072439,0.9827829511365086,6,0.6639135378046159,8,0.8926567965684132,6
iBB1018,20,0.873470219392827,23.31621348124705,20.929919441780548,5.417017262283654,0.8619577535243502,0.8858716237092139,6,0.546397731393606,8,0.02094297466738903,6
iBsu1147R,20,0.7514615629994746,35.58887009562288,27.763065601330425,-1.5405085629181936,0.7860181394867884,0.7911520830046751,6,0.4490413093660456,8,0.01012429639360344,6
ecBSU1,20,0.7514623870878819,35.58879950851715,27.762989951077905,-1.5404453873599304,0.7860181394867884,0.7911531478473177,6,0.44904184374620165,8,0.010124295967129332,6
Submodel,20,0.8069953683607446,29.354249272424287,25.81017884601503,10.348768825099073,0.8456348687552463,0.885988997191585,6,0.25529034997148964,8,0.019313064854194786,6
