condition,reactions,import fluxes,experimental growth,iYO844,iBsu1103,iBsu1103v2,iBsu1147,eciYO844,iBB1018,iBsu1147R,ecBSU1,iBsu1209,Submodel
Glucose,EX_glc__D_e,-1.8,0.1,0.12686951304484445,407.1717135299831,227.85202416076376,0.13283449909364295,0.12686951304484448,0.11939348255557573,0.12966527602648473,0.12966533197718688,0.0,0.14961747897072122
Glucose; acetate,EX_glc__D_e; EX_ac_e,-1.45; -1.65,0.1,0.1354944141509633,407.17171352998224,227.84663371506048,0.13666876301072914,0.1291688585904366,0.12889998416316806,0.1371097107073985,0.13710977149483505,0.0,0.15987277740690076
Glucose; citrate,EX_glc__D_e; EX_cit_e,-1.55; -0.5,0.1,0.13789563762132612,407.17171352998224,227.84817384240327,0.1417483981749899,0.13789563762132606,0.13117602773863168,0.13784845078339836,0.13784851109846918,0.0,0.16071430949532953
Glucose; gluconate,EX_glc__D_e; EX_glcn__D_e,-1.55; -0.6,0.12,0.1530224389795274,407.17171352998224,227.84817384240327,0.15785469584073367,0.1530224389795273,0.14821964872055327,0.1556737180201684,0.15567378519354108,0.0,0.1763545070364818
Glucose; acetoin,EX_glc__D_e; EX_actn__R_e,-2.2; -0.5,0.12,0.19311529843802172,407.17171352998224,227.85818467013826,0.19626232253561715,0.19100237374174642,0.1924128414249662,0.19299017827197656,0.19299026154744084,0.0,0.21831735123184284
Glucose,EX_glc__D_e,-1.7,0.1,0.11796638932239893,407.17171352998224,227.8504840334192,0.1241261708751752,0.11796638932239917,0.10958031960580396,0.1213727293038604,0.1213727816763201,0.0,0.1404609625098439
Glucose,EX_glc__D_e,-3.2,0.2,0.2515132451590777,407.17171352998224,227.87358594357428,0.25475109415219116,0.2515132451590776,0.2567777638524236,0.24576093014321929,0.24576103618931922,0.0,0.27780870942298796
Glucose,EX_glc__D_e,-4.7,0.3,0.3850601009957561,407.17171352998224,227.89668785372933,0.3853760174292076,0.3832122797253161,0.4039752080990362,0.3701491309825782,0.37014929070231806,0.0,0.4151564563361349
Glucose,EX_glc__D_e,-6.2,0.4,0.5186069568324346,407.17171352998224,227.9197897638844,0.49711304359681835,0.5075589193030074,0.5511726523456453,0.49453733182194165,0.4945375452153172,0.0,0.5525042032492814
