Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,1.125,16.5,0.06677342791833922
iYO844,1.125,17.25,0.06677342791833922
iYO844,1.125,18.0,0.06677342791833922
iYO844,1.125,18.75,0.06677342791833922
iYO844,1.125,19.5,0.06677342791833922
iYO844,1.125,20.25,0.06677342791833922
iYO844,1.125,21.0,0.06677342791833922
iYO844,1.125,21.75,0.06677342791833922
iYO844,1.125,22.5,0.06677342791833922
iYO844,1.125,23.25,0.06677342791833922
iYO844,1.125,24.0,0.06677342791833922
iYO844,1.125,24.75,0.06677342791833922
iYO844,1.125,25.5,0.06677342791833922
iYO844,1.125,26.25,0.06677342791833922
iYO844,1.125,27.0,0.06677342791833922
iYO844,1.125,27.75,0.06677342791833922
iYO844,1.125,28.5,0.06677342791833922
iYO844,1.125,29.25,0.06677342791833922
iYO844,1.125,30.0,0.06677342791833922
iYO844,1.5,0.0,0.0
iYO844,1.5,0.75,0.0
iYO844,1.5,1.5,0.005568517899962768
iYO844,1.5,2.25,0.030626848449795224
iYO844,1.5,3.0,0.05145641212617795
iYO844,1.5,3.75,0.06817974606718583
iYO844,1.5,4.5,0.08490308000819363
iYO844,1.5,5.25,0.10016014187750881
iYO844,1.5,6.0,0.10016014187750881
iYO844,1.5,6.75,0.10016014187750881
iYO844,1.5,7.5,0.10016014187750881
iYO844,1.5,8.25,0.10016014187750881
iYO844,1.5,9.0,0.10016014187750881
iYO844,1.5,9.75,0.10016014187750881
iYO844,1.5,10.5,0.10016014187750881
iYO844,1.5,11.25,0.10016014187750881
iYO844,1.5,12.0,0.10016014187750881
iYO844,1.5,12.75,0.10016014187750881
iYO844,1.5,13.5,0.10016014187750881
iYO844,1.5,14.25,0.10016014187750881
iYO844,1.5,15.0,0.10016014187750881
iYO844,1.5,15.75,0.10016014187750881
iYO844,1.5,16.5,0.10016014187750881
iYO844,1.5,17.25,0.10016014187750881
iYO844,1.5,18.0,0.10016014187750881
iYO844,1.5,18.75,0.10016014187750881
iYO844,1.5,19.5,0.10016014187750881
iYO844,1.5,20.25,0.10016014187750881
iYO844,1.5,21.0,0.10016014187750881
iYO844,1.5,21.75,0.10016014187750881
iYO844,1.5,22.5,0.10016014187750881
iYO844,1.5,23.25,0.10016014187750881
iYO844,1.5,24.0,0.10016014187750881
iYO844,1.5,24.75,0.10016014187750881
iYO844,1.5,25.5,0.10016014187750881
iYO844,1.5,26.25,0.10016014187750881
