Model,n,n_total,CCC,RMSE,MAE,Bias
iYO844,8,8,0.9033154031315148,0.0736133536803147,0.06362159704973565,-0.024654929933501324
iBsu1147,7,8,0.7501473889736177,0.1262281059591763,0.10356125728366829,-0.08702619134457334
eciYO844,8,8,0.33342858503624556,0.3598429214570895,0.30745064820520834,-0.30745064820520834
iBB1018,8,8,0.9094961882631435,0.07219243822694844,0.06286381605833599,-0.007731219712509094
iBsu1147R,8,8,0.8454524881895158,0.0917002062606757,0.07077388288563195,-0.05308228875470308
ecBSU1,8,8,0.8454525388859084,0.09170017229619214,0.07077385746697126,-0.05308221173815441
Submodel,8,8,0.8983226367275633,0.07409350729794201,0.0630391744161947,0.00013385747694156375
