Model,Glucose_uptake,Growth_rate
iYO844,-0.0,0.0
iYO844,0.5,0.011128904653056453
iYO844,1.0,0.05564452326528268
iYO844,1.5,0.10016014187750881
iYO844,2.0,0.144675760489735
iYO844,2.5,0.1891913791019611
iYO844,3.0,0.23370699771418724
iYO844,3.5,0.27822261632641343
iYO844,4.0,0.3227382349386395
iYO844,4.5,0.3672538535508658
iYO844,5.0,0.4117694721630918
iYO844,5.5,0.456285090775318
iYO844,6.0,0.5008007093875441
iYO844,6.5,0.5453163279997703
iYO844,7.0,0.5898319466119963
iYO844,7.5,0.6241848146320907
iYO844,8.0,0.6241848146320907
iYO844,8.5,0.6241848146320907
iYO844,9.0,0.6241848146320907
iYO844,9.5,0.6241848146320907
iYO844,10.0,0.6241848146320907
iYO844,10.5,0.6241848146320907
iYO844,11.0,0.6241848146320907
iYO844,11.5,0.6241848146320907
iYO844,12.0,0.6241848146320907
iYO844,12.5,0.6241848146320907
iYO844,13.0,0.6241848146320907
iYO844,13.5,0.6241848146320907
iYO844,14.0,0.6241848146320907
iYO844,14.5,0.6241848146320907
iYO844,15.0,0.6241848146320907
iBsu1147,-0.0,0.0
iBsu1147,0.5,0.019626232253561676
iBsu1147,1.0,0.06316787334590043
iBsu1147,1.5,0.10670951443823916
iBsu1147,2.0,0.1502511555305779
iBsu1147,2.5,0.19379279662291662
iBsu1147,3.0,0.23733443771525525
iBsu1147,3.5,0.2808760788075943
iBsu1147,4.0,0.32441771989993284
iBsu1147,4.5,0.367959360992272
iBsu1147,5.0,0.41150100208461043
iBsu1147,5.5,0.4550426431769488
iBsu1147,6.0,0.49858428426928764
iBsu1147,6.5,0.5421259253616264
iBsu1147,7.0,0.5856675664539656
iBsu1147,7.5,0.6215395660754942
iBsu1147,8.0,0.6215395660754871
iBsu1147,8.5,0.6215395660754871
iBsu1147,9.0,0.6215395660754871
iBsu1147,9.5,0.6215395660754871
iBsu1147,10.0,0.6215395660754871
iBsu1147,10.5,0.6215395660754871
iBsu1147,11.0,0.6215395660754871
iBsu1147,11.5,0.6215395660754871
iBsu1147,12.0,0.6215395660754871
iBsu1147,12.5,0.6215395660754871
iBsu1147,13.0,0.6215395660754871
iBsu1147,13.5,0.6215395660754871
iBsu1147,14.0,0.6215395660754871
iBsu1147,14.5,0.6215395660754871
iBsu1147,15.0,0.6215395660754871
eciYO844,-0.0,0.0
eciYO844,0.5,0.011128904653056524
eciYO844,1.0,0.055644523265282624
eciYO844,1.5,0.10016014187750875
eciYO844,2.0,0.14467576048973488
eciYO844,2.5,0.18919137910196102
eciYO844,3.0,0.23370699771418713
eciYO844,3.5,0.2782226163264133
eciYO844,4.0,0.32273823493863935
eciYO844,4.5,0.36650616405251674
eciYO844,5.0,0.4082714532345135
eciYO844,5.5,0.4500367424165099
eciYO844,6.0,0.49180203159850855
eciYO844,6.5,0.5252952867049306
eciYO844,7.0,0.55408691443043
eciYO844,7.5,0.5828785421559285
eciYO844,8.0,0.6116701698814282
eciYO844,8.5,0.6241848146320907
eciYO844,9.0,0.6241848146320929
eciYO844,9.5,0.6241848146320926
eciYO844,10.0,0.6241848146320917
eciYO844,10.5,0.6241848146320917
eciYO844,11.0,0.6241848146320917
eciYO844,11.5,0.6241848146320917
eciYO844,12.0,0.6241848146320917
eciYO844,12.5,0.6241848146320917
eciYO844,13.0,0.6241848146320917
eciYO844,13.5,0.6241848146320917
eciYO844,14.0,0.6241848146320917
eciYO844,14.5,0.6241848146320917
eciYO844,15.0,0.6241848146320917
iBB1018,-0.0,0.0
iBB1018,0.5,0.0
iBB1018,1.0,0.04088826948790007
iBB1018,1.5,0.0899541928733795
iBB1018,2.0,0.13901980845512527
iBB1018,2.5,0.18808562320398822
iBB1018,3.0,0.23715143795285631
iBB1018,3.5,0.2862172527017195
iBB1018,4.0,0.3352830674506071
iBB1018,4.5,0.384348882199454
iBB1018,5.0,0.4334146969483248
iBB1018,5.5,0.4824805116971934
iBB1018,6.0,0.5315463264460615
iBB1018,6.5,0.5806121411949225
iBB1018,7.0,0.6254471624918836
iBB1018,7.5,0.6254471624918845
iBB1018,8.0,0.6254471624918845
iBB1018,8.5,0.6254471624918845
iBB1018,9.0,0.6254471624918845
iBB1018,9.5,0.6254471624918845
iBB1018,10.0,0.6254471624918845
iBB1018,10.5,0.6254471624918845
iBB1018,11.0,0.6254471624918845
iBB1018,11.5,0.6254471624918845
iBB1018,12.0,0.6254471624918845
iBB1018,12.5,0.6254471624918845
iBB1018,13.0,0.6254471624918845
iBB1018,13.5,0.6254471624918845
iBB1018,14.0,0.6254471624918845
iBB1018,14.5,0.6254471624918845
iBB1018,15.0,0.6254471624918845
iBsu1147R,-0.0,0.0
iBsu1147R,0.5,0.021862168632372406
iBsu1147R,1.0,0.06332490224549246
iBsu1147R,1.5,0.10478763585861263
iBsu1147R,2.0,0.14625036947173262
iBsu1147R,2.5,0.1877131030848528
iBsu1147R,3.0,0.2291758366979727
iBsu1147R,3.5,0.2706385703110928
iBsu1147R,4.0,0.3121013039242128
iBsu1147R,4.5,0.3535640375373328
iBsu1147R,5.0,0.3950267711504529
iBsu1147R,5.5,0.43648950476357146
iBsu1147R,6.0,0.4779522383766929
iBsu1147R,6.5,0.5194149719898137
iBsu1147R,7.0,0.5545565412709146
iBsu1147R,7.5,0.5545565412708973
iBsu1147R,8.0,0.5545565412708973
iBsu1147R,8.5,0.5545565412708973
iBsu1147R,9.0,0.5545565412708973
iBsu1147R,9.5,0.5545565412708973
iBsu1147R,10.0,0.5545565412708973
iBsu1147R,10.5,0.5545565412708973
iBsu1147R,11.0,0.5545565412708973
iBsu1147R,11.5,0.5545565412708973
iBsu1147R,12.0,0.5545565412708973
iBsu1147R,12.5,0.5545565412708973
iBsu1147R,13.0,0.5545565412708973
iBsu1147R,13.5,0.5545565412708973
iBsu1147R,14.0,0.5545565412708973
iBsu1147R,14.5,0.5545565412708973
iBsu1147R,15.0,0.5545565412708973
ecBSU1,-0.0,0.0
ecBSU1,0.5,0.021862178065921105
ecBSU1,1.0,0.06332492957025418
ecBSU1,1.5,0.10478768107458714
ecBSU1,2.0,0.14625043257892043
ecBSU1,2.5,0.18771318408325333
ecBSU1,3.0,0.2291759355875864
ecBSU1,3.5,0.2706386870919195
ecBSU1,4.0,0.31210143859625233
