condition,reactions,import fluxes,experimental growth,iYO844,iBsu1103,iBsu1103v2,iBsu1147,eciYO844,iBB1018,iBsu1147R,ecBSU1,iBsu1209,Submodel
Glucose,EX_glc__D_e,-1.8,0.1,0.08477813736307006,407.17171352998224,227.85202416076348,0.13283449909364253,0.08477813736306981,0.06928168101603274,0.09553060587122361,0.09553064157517355,0.0,0.11416372254648742
Glucose; acetate,EX_glc__D_e; EX_ac_e,-1.45; -1.65,0.1,0.08725083303615938,407.17171352998224,227.84663371506048,0.13666876301072914,0.07931994030360143,0.07207959505706062,0.09607082217217142,0.09607085935550086,0.0,0.11879511088508982
Glucose; citrate,EX_glc__D_e; EX_cit_e,-1.55; -0.5,0.1,0.09294550138738769,407.17171352998224,227.84817384240327,0.141748398174989,0.09294550138738683,0.07808996896786018,0.10172344187138276,0.10172348039105415,0.0,0.12254014664931516
Glucose; gluconate,EX_glc__D_e; EX_glcn__D_e,-1.55; -0.6,0.12,0.10526618722581195,407.17171352998224,227.84817384240327,0.1578546958407327,0.10526618722581156,0.09246440844347062,0.11702499219224767,0.11702503592958709,0.0,0.13546810890404962
Glucose; acetoin,EX_glc__D_e; EX_actn__R_e,-2.2; -0.5,0.12,0.13425747432293142,407.17171352998224,227.85818467013826,0.19626232253561715,0.13167639579075235,0.12526856683994048,0.14456965021845128,0.14456970425042803,0.0,0.16698669554926615
Glucose,EX_glc__D_e,-1.7,0.1,0.07771329258281419,407.17171352998224,227.8504840334192,0.12412617087517516,0.0775572749635215,0.06128753727753308,0.08884346346023768,0.08884349666491095,0.0,0.10675350120473004
Glucose,EX_glc__D_e,-3.2,0.2,0.1836859642866516,407.17171352998224,227.87358594357428,0.25475109415219116,0.18331719536832297,0.18119793629881184,0.1891505996250211,0.18915067031884283,0.0,0.2179068213311296
Glucose,EX_glc__D_e,-4.7,0.3,0.2896586359904891,407.17171352998224,227.89668785372933,0.3853760174292076,0.2780555257463555,0.30110833532007336,0.2894577357898045,0.28945784397277463,0.0,0.32906014145752877
Glucose,EX_glc__D_e,-6.2,0.4,0.34603510364952456,407.17171352998224,227.9197897638844,0.49711304359681835,0.3385990958423647,0.3745178656910896,0.355420088398794,0.35542017233615736,0.0,0.4053111868216397
