Model,n,n_total,CCC,RMSE,MAE,Bias
iYO844,9,9,0.8764380577069942,0.061584150578532344,0.05328266606048335,0.05328266606048335
iBsu1147,9,9,0.8784895428127125,0.059361709617148574,0.05408166718990053,0.05408166718990053
eciYO844,9,9,0.8859120370309956,0.05831933273642856,0.05091218394307565,0.05091218394307565
iBB1018,9,9,0.8551729188386948,0.07086978735780115,0.055734214278422636,0.055734214278422636
iBsu1147R,9,9,0.8941583407286137,0.05446600235199379,0.04945638400678064,0.04945638400678064
ecBSU1,9,9,0.8941580126085515,0.05446610847935674,0.049456479454971905,0.049456479454971905
Submodel,9,9,0.7883768847779729,0.0861425364547875,0.07897852840661379,0.07897852840661379
