ID,LOWER_BOUND,UPPER_BOUND
EX_h2o_e,-1000.0,1000
EX_o2_e,-18.0,0
EX_pi_e,-5.0,1000
EX_co2_e,-1000.0,1000
EX_nh4_e,-5.0,1000
EX_so4_e,-5.0,1000
EX_ca2_e,-1000.0,1000
EX_h_e,-1000.0,1000
EX_k_e,-1000.0,1000
EX_glc__D_e,-8.7,1000
EX_mg2_e,-1000.0,1000
EX_na1_e,-1000.0,1000
EX_fe3_e,-1000.0,1000
EX_fe2_e,-1000.0,1000
